	Rsem_log_q_200_f
TCGA-BH-A1FR-11B-42R-A13Q-07	0.110719
TCGA-C8-A273-01A-11R-A16F-07	0.1944656
TCGA-BH-A18L-01A-32R-A12D-07	0.5662315
TCGA-E9-A22H-01A-11R-A157-07	0.2099561
TCGA-BH-A0DD-11A-23R-A12P-07	0.0500699
TCGA-BH-A0HU-01A-11R-A034-07	0.6448522
TCGA-A7-A3IY-01A-21R-A21T-07	0.0703887
TCGA-B6-A0RN-01A-12R-A084-07	0.7033978
TCGA-AC-A2FG-01A-11R-A17B-07	0.593468
TCGA-GM-A2DI-01A-31R-A18M-07	0.1617474
TCGA-A2-A0YG-01A-21R-A109-07	0.7851875
TCGA-BH-A2L8-01A-11R-A18M-07	0.1111151
TCGA-OL-A5RW-01A-11R-A28M-07	0.0558533
TCGA-BH-A0DH-01A-11R-A084-07	0.4863536
TCGA-BH-A0EI-01A-11R-A115-07	0.6190622
TCGA-BH-A1F8-11B-21R-A13Q-07	0.3075977
TCGA-D8-A1JE-01A-11R-A13Q-07	0.1614965
TCGA-B6-A0I8-01A-11R-A034-07	0.8830475
TCGA-BH-A0DX-01A-11R-A115-07	0.2901518
TCGA-A2-A0CY-01A-12R-A034-07	0.5923099
TCGA-OL-A66O-01A-11R-A31O-07	0.4867478
TCGA-LD-A7W5-01A-22R-A352-07	0.1160817
TCGA-BH-A1FN-01A-11R-A13Q-07	0.1126572
TCGA-A8-A081-01A-11R-A00Z-07	0.5216766
TCGA-A8-A095-01A-11R-A00Z-07	0.6173464
TCGA-BH-A1F8-01A-11R-A13Q-07	0.5904598
TCGA-BH-A0BW-11A-12R-A115-07	0.0586223
TCGA-BH-A0EA-01A-11R-A115-07	0.4329219
TCGA-A7-A4SD-01A-11R-A266-07	0.0148993
TCGA-A2-A0CO-01A-13R-A22K-07	0.104982
TCGA-D8-A141-01A-11R-A115-07	0.0341196
TCGA-BH-A0AZ-01A-21R-A12P-07	0.2664103
TCGA-BH-A1ES-01A-11R-A137-07	0.8409917
TCGA-D8-A1X8-01A-11R-A14M-07	0.1383877
TCGA-E2-A106-01A-11R-A10J-07	0.8249368
TCGA-A2-A4RX-01A-11R-A266-07	0.1636208
TCGA-AN-A0AJ-01A-11R-A00Z-07	0.166252
TCGA-E9-A1N9-01A-11R-A14D-07	0.3891757
TCGA-AC-A62X-01A-11R-A29R-07	0.3401905
TCGA-A2-A0EO-01A-11R-A034-07	0.4796532
TCGA-A8-A07R-01A-21R-A034-07	0.2208082
TCGA-E9-A6HE-01A-11R-A31O-07	0.3182798
TCGA-BH-A18S-01A-11R-A12D-07	0.7894134
TCGA-BH-A1EW-11B-33R-A137-07	0.2504963
TCGA-AR-A1AW-01A-21R-A12P-07	0.0288653
TCGA-BH-A0HA-01A-11R-A12P-07	0.2255314
TCGA-E2-A1IG-01A-11R-A144-07	0.3359352
TCGA-A2-A0T3-01A-21R-A115-07	0.6894811
TCGA-E9-A3HO-01A-11R-A213-07	0.245302
TCGA-A2-A0SW-01A-11R-A084-07	0.0748995
TCGA-A7-A26H-01A-11R-A169-07	0.2844281
TCGA-AR-A24T-01A-11R-A169-07	0.1738619
TCGA-BH-A202-01A-11R-A14M-07	0.125337
TCGA-BH-A1F0-01A-11R-A137-07	0.017707
TCGA-LD-A66U-01A-11R-A31O-07	0.2678184
TCGA-AO-A0JA-01A-11R-A056-07	0.5760977
TCGA-BH-A18N-11A-43R-A12D-07	0.2597305
TCGA-B6-A0RH-01A-21R-A115-07	0.1880248
TCGA-V7-A7HQ-01A-11R-A33J-07	0.6508914
TCGA-BH-A0AU-01A-11R-A12P-07	0.3494037
TCGA-LL-A6FQ-01A-11R-A31O-07	0.7958142
TCGA-B6-A0X5-01A-21R-A109-07	0.8116369
TCGA-BH-A0B9-01A-11R-A056-07	0.0403484
TCGA-EW-A2FV-01A-11R-A17B-07	0.3020349
TCGA-AC-A2QI-01A-12R-A19W-07	0.3715518
TCGA-E2-A1LK-01A-21R-A14D-07	0.1962815
TCGA-D8-A1JC-01A-11R-A13Q-07	0.3991514
TCGA-E2-A109-01A-11R-A10J-07	0.7137338
TCGA-A2-A25D-01A-12R-A16F-07	0.0587574
TCGA-AN-A0FJ-01A-11R-A00Z-07	0.5007138
TCGA-E2-A14V-01A-11R-A12D-07	0.8320356
TCGA-A2-A04Q-01A-21R-A034-07	0.0322642
TCGA-AO-A0JE-01A-11R-A056-07	0.1203897
TCGA-EW-A1P8-01A-11R-A144-07	0.1068395
TCGA-C8-A8HR-01A-11R-A36F-07	0.0404115
TCGA-AC-A2QH-01A-11R-A18M-07	0.0910822
TCGA-OL-A66I-01A-21R-A29R-07	0.090161
TCGA-C8-A134-01A-11R-A115-07	0.2125245
TCGA-B6-A0RO-01A-22R-A084-07	0.778749
TCGA-BH-A0AY-11A-23R-A089-07	0.2172703
TCGA-A8-A0A4-01A-11R-A00Z-07	0.3651926
TCGA-E2-A14X-01A-11R-A115-07	0.3765776
TCGA-E9-A1RF-11A-32R-A157-07	0.0167619
TCGA-GM-A4E0-01A-12R-A266-07	0.0517935
TCGA-LD-A7W6-01A-81R-A352-07	0.1665406
TCGA-E9-A1RA-01A-11R-A14D-07	0.3111839
TCGA-A8-A07P-01A-11R-A00Z-07	0.7728657
TCGA-BH-A1F2-01A-31R-A13Q-07	0.294135
TCGA-E9-A1RG-01A-11R-A14D-07	0.6504833
TCGA-AN-A041-01A-11R-A034-07	0.6595567
TCGA-AR-A0TT-01A-31R-A084-07	0.0706599
TCGA-B6-A0WZ-01A-11R-A109-07	0.7494911
TCGA-BH-A18K-11A-13R-A12D-07	0.5990037
TCGA-A1-A0SH-01A-11R-A084-07	0.5717097
TCGA-E9-A1RE-01A-11R-A157-07	0.3517852
TCGA-A2-A04W-01A-31R-A115-07	0.7542516
TCGA-D8-A1J8-01A-11R-A13Q-07	0.0770274
TCGA-GM-A2DD-01A-11R-A180-07	0.1238659
TCGA-AR-A1AV-01A-21R-A12P-07	0.7177067
TCGA-E2-A1IN-01A-11R-A13Q-07	0.5046533
TCGA-PL-A8LZ-01A-31R-A36F-07	0.0081871
TCGA-A7-A3RF-01A-11R-A22K-07	0.3265173
TCGA-A8-A06T-01A-11R-A00Z-07	0.4486553
TCGA-D8-A27L-01A-11R-A16F-07	0.1639228
TCGA-BH-A0B8-01A-21R-A056-07	0.127942
TCGA-AR-A0U0-01A-11R-A109-07	0.0204778
TCGA-BH-A18V-06A-11R-A213-07	0.0253328
TCGA-GM-A2DA-01A-11R-A18M-07	0.0665576
TCGA-BH-A1FU-11A-23R-A14D-07	0.3696592
TCGA-A8-A09B-01A-11R-A00Z-07	0.3831391
TCGA-C8-A12Q-01A-11R-A115-07	0.8459499
TCGA-B6-A40C-01A-11R-A239-07	0.347266
TCGA-BH-A0HY-01A-11R-A056-07	0.8608355
TCGA-A2-A3XT-01A-11R-A22U-07	0.0249624
TCGA-BH-A1FD-11B-21R-A13Q-07	0.310489
TCGA-EW-A1P7-01A-21R-A144-07	0.0646661
TCGA-A7-A5ZV-01A-11R-A28M-07	0.1308039
TCGA-BH-A0DD-01A-31R-A12P-07	0.3192832
TCGA-E9-A1R2-01A-11R-A14D-07	0.4016141
TCGA-LL-A7SZ-01A-32R-A352-07	0.3096446
TCGA-A8-A06R-01A-11R-A00Z-07	0.0809072
TCGA-AR-A24K-01A-11R-A169-07	0.5539559
TCGA-A2-A0T6-01A-11R-A084-07	0.1264173
TCGA-A1-A0SO-01A-22R-A084-07	0.7018234
TCGA-A7-A5ZX-01A-12R-A29R-07	0.7305365
TCGA-A8-A091-01A-11R-A00Z-07	0.6112614
TCGA-A7-A3IZ-01A-11R-A213-07	0.473997
TCGA-E9-A22E-01A-11R-A157-07	0.0361597
TCGA-D8-A1XK-01A-21R-A14M-07	0.0524334
TCGA-BH-A0H5-01A-21R-A115-07	0.0790432
TCGA-E2-A15A-06A-11R-A12D-07	0.3042975
TCGA-AC-A3W7-01A-11R-A22K-07	0.2687543
TCGA-BH-A0C7-01B-11R-A115-07	0.1634724
TCGA-E2-A15M-01A-11R-A12D-07	0.0764674
TCGA-GM-A2DB-01A-31R-A18M-07	0.2742777
TCGA-A1-A0SM-01A-11R-A084-07	0.7702095
TCGA-D8-A1Y3-01A-11R-A157-07	0.1452731
TCGA-D8-A4Z1-01A-21R-A266-07	0.2650997
TCGA-BH-A1EO-01A-11R-A137-07	0.0951755
TCGA-AR-A1AT-01A-11R-A12P-07	0.1802962
TCGA-B6-A0IO-01A-11R-A034-07	0.1175471
TCGA-AR-A1AS-01A-11R-A12P-07	0.8336934
TCGA-B6-A1KF-01A-11R-A13Q-07	0.9138496
TCGA-AN-A0AS-01A-11R-A00Z-07	0.0856414
TCGA-BH-A0DT-01A-21R-A12D-07	0.2745096
TCGA-B6-A3ZX-01A-11R-A239-07	0.3168897
TCGA-A7-A0CE-01A-11R-A00Z-07	0.351631
TCGA-GM-A3NW-01A-21R-A22K-07	0.464728
TCGA-EW-A1P5-01A-11R-A144-07	0.1309075
TCGA-BH-A1FG-11B-12R-A13Q-07	0.2279975
TCGA-E9-A1RD-01A-11R-A157-07	0.2467399
TCGA-E2-A1B6-01A-31R-A12P-07	0.1885642
TCGA-BH-A0AU-11A-11R-A12P-07	0.6515775
TCGA-C8-A1HM-01A-12R-A137-07	0.0521385
TCGA-AC-A5EH-01A-11R-A28M-07	0.336412
TCGA-BH-A0DO-11A-22R-A12D-07	0.3788957
TCGA-GM-A2DH-01A-11R-A180-07	0.1544942
TCGA-BH-A0AZ-11A-22R-A12P-07	0.6347123
TCGA-E2-A1L7-01A-11R-A144-07	0.056861
TCGA-E2-A1IE-01A-11R-A13Q-07	0.8136133
TCGA-AQ-A54N-01A-11R-A266-07	0.5370302
TCGA-A7-A26J-01A-11R-A169-07	0.1729714
TCGA-A8-A08T-01A-21R-A00Z-07	0.5658685
TCGA-AC-A2B8-01A-11R-A17B-07	0.1154749
TCGA-AN-A0AT-01A-11R-A034-07	0.4015369
TCGA-D8-A1XO-01A-11R-A14M-07	0.196167
TCGA-A2-A1FV-01A-11R-A13Q-07	0.5937147
TCGA-AR-A0U4-01A-11R-A109-07	0.0123887
TCGA-D8-A1JG-01B-11R-A13Q-07	0.1349855
TCGA-A2-A0CL-01A-11R-A115-07	0.041873
TCGA-BH-A18F-01A-11R-A12D-07	0.3584148
TCGA-A2-A0D3-01A-11R-A115-07	0.4967719
TCGA-AO-A03N-01B-11R-A10J-07	0.4055108
TCGA-C8-A12Y-01A-11R-A12D-07	0.1872953
TCGA-BH-A1ET-11B-23R-A137-07	0.1856574
TCGA-E9-A1ND-11A-43R-A144-07	0.081555
TCGA-D8-A1XJ-01A-11R-A14M-07	0.8388791
TCGA-BH-A0EB-01A-11R-A034-07	0.1674067
TCGA-BH-A8FY-01A-11R-A36F-07	0.5842498
TCGA-A1-A0SP-01A-11R-A084-07	0.2034719
TCGA-BH-A0HP-01A-12R-A084-07	0.1760784
TCGA-AC-A2FB-11A-13R-A17B-07	0.1697563
TCGA-A8-A09D-01A-11R-A00Z-07	0.3582282
TCGA-D8-A1JD-01A-11R-A13Q-07	0.3391535
TCGA-AR-A252-01A-11R-A169-07	0.0713002
TCGA-A2-A0CT-01A-31R-A056-07	0.5700755
TCGA-LL-A440-01A-11R-A24H-07	0.1135763
TCGA-B6-A0IE-01A-11R-A034-07	0.5626102
TCGA-D8-A3Z5-01A-41R-A24H-07	0.6345158
TCGA-AC-A5XU-01A-11R-A28M-07	0.6075667
TCGA-A8-A09R-01A-11R-A00Z-07	0.1243812
TCGA-C8-A138-01A-11R-A115-07	0.1607664
TCGA-E9-A22B-01A-11R-A157-07	0.1651837
TCGA-A7-A6VW-01A-21R-A33J-07	0.0450208
TCGA-BH-A0DZ-11A-22R-A089-07	0.8693648
TCGA-A2-A25C-01A-11R-A169-07	0.474773
TCGA-EW-A1IZ-01A-11R-A13Q-07	0.1958954
TCGA-AO-A03M-01B-11R-A10J-07	0.2893607
TCGA-BH-A0DL-11A-13R-A115-07	0.0763208
TCGA-HN-A2OB-01A-21R-A27Q-07	0.666909
TCGA-A2-A3XW-01A-11R-A239-07	0.2015141
TCGA-OL-A5S0-01A-11R-A28M-07	0.1939072
TCGA-BH-A18U-01A-21R-A12D-07	0.1846431
TCGA-E9-A1N9-11A-71R-A14D-07	0.4102011
TCGA-A8-A07F-01A-11R-A00Z-07	0.2561944
TCGA-A8-A08O-01A-21R-A056-07	0.6464158
TCGA-D8-A1JP-01A-11R-A13Q-07	0.218337
TCGA-E2-A15M-11A-22R-A12D-07	0.211427
TCGA-B6-A0IJ-01A-11R-A034-07	0.0280223
TCGA-E2-A1II-01A-11R-A144-07	0.0167866
TCGA-D8-A1JK-01A-11R-A13Q-07	0.1373802
TCGA-BH-A0H6-01A-21R-A056-07	0.5264866
TCGA-AC-A7VC-01A-11R-A352-07	0.4223273
TCGA-E2-A14W-01A-11R-A12D-07	0.518975
TCGA-BH-A0C0-01A-21R-A056-07	0.0457749
TCGA-A7-A4SF-01A-11R-A266-07	0.8250366
TCGA-A2-A4RW-01A-21R-A266-07	0.6187917
TCGA-A8-A08P-01A-11R-A00Z-07	0.1341362
TCGA-AR-A0TW-01A-11R-A084-07	0.2426042
TCGA-C8-A274-01A-11R-A16F-07	0.600692
TCGA-AR-A0TP-01A-11R-A084-07	0.7810125
TCGA-A8-A09X-01A-11R-A00Z-07	0.2486154
TCGA-AC-A2FF-01A-11R-A17B-07	0.2245595
TCGA-E2-A15I-11A-32R-A137-07	0.1439786
TCGA-E2-A1BD-01A-11R-A12P-07	0.2600554
TCGA-E2-A1AZ-01A-11R-A12P-07	0.0377091
TCGA-E2-A1LI-01A-12R-A157-07	0.0884261
TCGA-BH-A18S-11A-43R-A12D-07	0.179782
TCGA-EW-A1PF-01A-11R-A144-07	0.3457124
TCGA-BH-A0E0-01A-11R-A056-07	0.5496229
TCGA-C8-A27B-01A-11R-A169-07	0.0172714
TCGA-AO-A0JI-01A-21R-A056-07	0.6111741
TCGA-A2-A3XV-01A-21R-A239-07	0.713468
TCGA-E9-A54X-01A-11R-A266-07	0.888032
TCGA-A7-A13F-01A-11R-A12P-07	0.8745066
TCGA-A7-A0D9-11A-53R-A089-07	0.0257261
TCGA-BH-A1ES-06A-12R-A24H-07	0.6994992
TCGA-OL-A5RZ-01A-11R-A28M-07	0.9524228
TCGA-OL-A66J-01A-11R-A29R-07	0.7399246
TCGA-AC-A2FB-01A-11R-A17B-07	0.2536753
TCGA-AC-A6IW-01A-12R-A33J-07	0.0714668
TCGA-BH-A0H5-11A-62R-A115-07	0.5973072
TCGA-BH-A0BM-11A-12R-A089-07	0.4724427
TCGA-B6-A1KC-01B-11R-A157-07	0.6639508
TCGA-A2-A0CK-01A-11R-A22K-07	0.2524571
TCGA-BH-A0BT-01A-11R-A12P-07	0.1396393
TCGA-E2-A574-01A-11R-A29R-07	0.8548808
TCGA-BH-A0DK-01A-21R-A056-07	0.0279082
TCGA-AR-A1AH-01A-11R-A12D-07	0.1888431
TCGA-BH-A203-01A-12R-A169-07	0.2674847
TCGA-D8-A1J9-01A-11R-A13Q-07	0.8461669
TCGA-AC-A6IX-01A-12R-A32P-07	0.2982984
